T1,12.082154,7.038334,5.077157
R1,13.184138,5.982378,2.329565
T2,13.590365,3.568984,0.203465
R2,13.357031,0.561752,-0.566101
T3,13.210475,-2.580007,-0.685475
R3,12.730727,-5.677469,0.403102
T4,11.517490,-7.665107,2.706576
R4,15.027940,6.949917,6.173876
T5,16.095600,5.398229,3.614214
R5,16.627964,3.009266,1.643742
T6,16.560930,0.144227,0.598861
R6,16.340765,-3.033063,0.592611
T7,15.616921,-5.917888,1.817783
R7,14.345077,-7.988730,3.833294
T8,17.352228,6.692625,7.636256
R8,18.496294,4.676638,5.794919
T9,18.858624,2.519502,3.839233
R9,18.945303,-0.283619,2.704418
T10,18.730846,-3.283279,2.622133
R10,17.936321,-6.083750,3.796214
T11,16.687649,-8.063967,5.838060
R11,21.366125,0.851569,12.672412
T12,21.290489,-2.242273,13.172826
R12,18.597416,5.830865,10.136169
T13,20.424644,3.658027,11.551208
R13,19.781181,-1.683218,15.892968
T14,15.977294,7.206981,9.191986
R14,19.261917,4.224842,14.428770
T15,20.110521,1.359266,15.493464
R15,14.422298,7.453661,12.078786
T16,17.258051,6.409699,13.050729
CH01,12.633146,6.510356,3.703361
CH02,13.387252,4.775681,1.266515
CH03,13.473698,2.065368,-0.181318
CH04,13.283753,-1.009128,-0.625788
CH05,12.970601,-4.128738,-0.141187
CH06,12.124109,-6.671288,1.554839
CH07,13.555047,6.994125,5.625517
CH08,14.639869,5.690304,2.971889
CH09,15.109165,3.289125,0.923604
CH10,14.958981,0.352989,0.016380
CH11,14.775620,-2.806535,-0.046432
CH12,14.173824,-5.797679,1.110442
CH13,12.931283,-7.826919,3.269935
CH14,15.561770,6.174073,4.894045
CH15,16.361782,4.203748,2.628978
CH16,16.594447,1.576746,1.121301
CH17,16.450848,-1.444418,0.595736
CH18,15.978843,-4.475476,1.205197
CH19,14.980999,-6.953309,2.825538
CH20,16.190084,6.821271,6.905066
CH21,17.295947,5.037434,4.704566
CH22,17.743294,2.764384,2.741488
CH23,17.753117,-0.069696,1.651639
CH24,17.535806,-3.158171,1.607372
CH25,16.776621,-6.000819,2.806998
CH26,15.516363,-8.026349,4.835677
CH27,17.924261,5.684631,6.715587
CH28,18.677459,3.598070,4.817076
CH29,18.901963,1.117941,3.271826
CH30,18.838075,-1.783449,2.663275
CH31,18.333584,-4.683515,3.209173
CH32,17.311985,-7.073858,4.817137
CH33,21.328307,-0.695352,12.922619
CH34,20.895385,2.254798,12.111810
CH35,19.511030,4.744446,10.843688
CH36,17.287355,6.518923,9.664078
CH37,20.535835,-1.962745,14.532897
CH38,20.738323,1.105418,14.082938
CH39,19.843281,3.941435,12.989989
CH40,17.927733,6.120282,11.593449
CH41,15.199796,7.330321,10.635386
CH42,19.945851,-0.161976,15.693216
CH43,19.686219,2.792054,14.961117
CH44,18.259984,5.317271,13.739749
CH45,15.840175,6.931680,12.564757
