Label,X,Y,Z
NzHS,11.169545,-0.435589,0.553755
IzHS
ARHS,8.064787,-7.189178,7.905282
ALHS,9.746335,6.726371,8.342242
Fp1HS
Fp2HS
FzHS
F3HS
F4HS
F7HS
F8HS
CzHS,21.122513,-1.942479,9.777039
C3HS
C4HS
T3HS
T4HS
PzHS
P3HS
P4HS
T5HS
T6HS
O1HS
O2HS
